onet_code,occupation,human_beta,job_zone,employment_2024,employment_growth_pct,openings_annual,gpt_percentile,gpt_high,openings_rank,growth_rank,labor_market_score,valid_routes,good_transitions,transition_score,usable_for_model,target_label,ability_Arm-Hand Steadiness,ability_Auditory Attention,ability_Category Flexibility,ability_Control Precision,ability_Deductive Reasoning,ability_Depth Perception,ability_Dynamic Flexibility,ability_Dynamic Strength,ability_Explosive Strength,ability_Extent Flexibility,ability_Far Vision,ability_Finger Dexterity,ability_Flexibility of Closure,ability_Fluency of Ideas,ability_Glare Sensitivity,ability_Gross Body Coordination,ability_Gross Body Equilibrium,ability_Hearing Sensitivity,ability_Inductive Reasoning,ability_Information Ordering,ability_Manual Dexterity,ability_Mathematical Reasoning,ability_Memorization,ability_Multilimb Coordination,ability_Near Vision,ability_Night Vision,ability_Number Facility,ability_Oral Comprehension,ability_Oral Expression,ability_Originality,ability_Perceptual Speed,ability_Peripheral Vision,ability_Problem Sensitivity,ability_Rate Control,ability_Reaction Time,ability_Response Orientation,ability_Selective Attention,ability_Sound Localization,ability_Spatial Orientation,ability_Speech Clarity,ability_Speech Recognition,ability_Speed of Closure,ability_Speed of Limb Movement,ability_Stamina,ability_Static Strength,ability_Time Sharing,ability_Trunk Strength,ability_Visual Color Discrimination,ability_Visualization,ability_Wrist-Finger Speed,ability_Written Comprehension,ability_Written Expression,style_Achievement Orientation,style_Adaptability,style_Attention to Detail,style_Cautiousness,style_Cooperation,style_Dependability,style_Empathy,style_Humility,style_Initiative,style_Innovation,style_Integrity,style_Intellectual Curiosity,style_Leadership Orientation,style_Optimism,style_Perseverance,style_Self-Confidence,style_Self-Control,style_Sincerity,style_Social Orientation,style_Stress Tolerance,style_Tolerance for Ambiguity,context_Contact With Others,context_Face-to-Face Discussions with Individuals and Within Teams,context_Freedom to Make Decisions,context_Importance of Being Exact or Accurate,context_Physical Proximity,context_Spend Time Making Repetitive Motions,context_Time Pressure,transferable_Complex Problem Solving,transferable_Coordination,transferable_Equipment Maintenance,transferable_Equipment Selection,transferable_Installation,transferable_Instructing,transferable_Judgment and Decision Making,transferable_Management of Financial Resources,transferable_Management of Material Resources,transferable_Management of Personnel Resources,transferable_Negotiation,transferable_Operation and Control,transferable_Operations Analysis,transferable_Operations Monitoring,transferable_Persuasion,transferable_Programming,transferable_Quality Control Analysis,transferable_Repairing,transferable_Service Orientation,transferable_Social Perceptiveness,transferable_Systems Analysis,transferable_Systems Evaluation,transferable_Technology Design,transferable_Time Management,transferable_Troubleshooting
19-1029.02,Molecular and Cellular Biologists,0.4390243902439024,5,63.7,1.2,4.8,70.47670639219935,False,0.45449620801733476,0.33098591549295775,0.3927410617551462,5,0,0.0,True,Nicht hoch GPT-exponiert,2.75,1.62,4.75,2.5,5.0,1.88,0.0,0.38,0.38,1.0,3.38,2.88,3.75,4.12,0.0,0.0,0.0,1.88,5.38,4.5,2.0,4.5,2.75,1.62,4.5,0.0,4.12,5.75,5.62,4.5,3.0,0.0,4.62,1.0,1.0,0.62,3.25,0.0,0.0,4.25,3.88,3.25,0.0,0.12,0.88,2.5,1.88,2.88,3.0,1.38,5.5,5.38,2.14,1.94,3.0,2.28,1.17,2.59,0.15,0.72,1.75,2.36,2.1,3.0,1.58,0.59,1.97,1.47,0.95,0.76,0.65,1.49,1.62,3.69,4.62,3.92,4.35,2.96,2.85,3.31,4.12,3.62,0.0,1.5,0.0,4.12,4.62,2.62,3.0,3.25,3.0,2.5,3.25,2.88,3.0,2.5,2.88,0.0,2.25,3.38,3.75,3.88,2.0,3.88,1.5
19-1029.03,Geneticists,0.4767441860465116,5,63.7,1.2,4.8,75.94799566630553,False,0.45449620801733476,0.33098591549295775,0.3927410617551462,5,0,0.0,True,Nicht hoch GPT-exponiert,1.88,2.0,4.12,1.88,4.75,1.88,0.0,0.12,0.0,0.0,3.12,2.25,3.5,4.12,0.0,0.0,0.0,2.12,4.88,4.0,1.88,4.0,2.62,0.75,4.12,0.0,3.75,5.0,5.0,4.0,2.88,0.0,4.75,0.0,0.62,0.25,2.88,0.0,0.0,3.88,3.38,2.75,0.0,0.0,0.12,2.62,1.75,2.88,2.88,1.5,5.12,5.0,2.24,1.94,3.0,2.14,1.7,2.36,0.39,0.72,1.79,2.51,2.32,3.0,1.45,0.45,1.94,1.41,1.14,0.88,1.09,1.29,1.89,3.68,4.6,4.64,4.64,2.92,2.72,2.92,4.0,3.25,0.0,0.12,0.0,3.75,4.0,2.12,2.12,3.12,3.0,0.88,1.5,2.75,3.12,1.12,2.62,0.0,2.88,3.75,3.62,3.12,1.12,3.5,1.12
19-1029.04,Biologists,0.3823529411764705,5,63.7,1.2,4.8,62.13434452871073,False,0.45449620801733476,0.33098591549295775,0.3927410617551462,5,1,0.2,True,Nicht hoch GPT-exponiert,2.75,2.0,5.0,1.75,4.88,1.88,0.0,0.62,0.12,0.88,3.75,2.62,4.0,4.0,0.5,1.0,0.88,1.75,5.0,4.0,2.0,4.25,3.0,1.88,4.12,0.25,3.25,5.0,5.12,3.88,3.0,0.62,4.12,0.5,0.62,0.12,3.0,0.62,0.38,4.12,4.12,3.0,0.0,0.75,1.12,2.12,1.75,3.0,3.0,0.88,5.12,5.0,1.95,1.29,2.53,1.5,1.7,2.08,0.43,0.75,1.41,2.3,2.03,3.0,1.29,0.43,1.58,1.24,0.75,0.92,1.29,0.95,1.41,4.0,4.37,4.42,3.53,3.19,3.01,3.29,4.0,3.0,0.0,0.0,0.0,3.88,4.0,2.0,1.88,3.12,2.5,0.88,1.38,1.62,3.0,3.75,2.75,0.0,2.75,3.0,3.0,3.0,0.62,3.62,0.62
19-1031.00,Conservation Scientists,0.5508474576271186,4,28.5,3.4,2.5,86.78223185265439,True,0.3120260021668472,0.5579631635969664,0.43499458288190684,5,0,0.0,True,Hoch GPT-exponiert mit begrenzten Wechseloptionen,2.38,2.12,3.62,2.25,3.88,2.12,0.62,1.88,1.88,1.75,3.0,2.12,3.5,3.62,1.38,1.88,1.62,1.88,3.62,3.75,2.12,3.12,2.75,2.12,3.5,1.62,3.12,4.12,3.88,3.62,2.62,1.62,3.62,1.5,1.75,1.5,2.75,1.0,1.75,3.25,3.25,3.25,0.5,2.0,2.12,2.75,2.5,2.62,3.0,2.12,4.5,4.12,1.63,1.75,2.25,2.1,1.77,2.27,0.64,1.03,1.56,2.09,2.24,2.08,1.64,0.79,1.94,1.44,1.53,1.46,1.24,1.27,1.26,3.91,4.43,4.09,3.7,2.91,1.96,3.3,3.75,3.38,0.25,0.5,0.25,3.12,3.5,2.12,2.5,2.88,2.75,1.75,2.12,2.0,3.12,1.25,1.62,0.25,3.0,3.25,3.12,3.25,1.12,3.25,1.62
19-1031.02,Range Managers,0.4032258064516129,4,28.5,3.4,2.5,65.22210184182016,False,0.3120260021668472,0.5579631635969664,0.43499458288190684,5,0,0.0,True,Nicht hoch GPT-exponiert,2.0,2.0,3.62,2.38,4.12,2.75,0.0,1.75,0.0,1.75,3.25,2.0,3.0,3.75,2.0,1.62,0.75,2.12,4.12,3.38,2.0,3.12,2.0,2.75,3.25,0.88,3.12,4.12,4.38,3.62,2.25,1.38,4.12,1.62,1.5,2.0,2.88,0.88,2.25,3.12,3.12,2.0,0.62,1.62,2.0,2.12,2.12,3.0,3.0,1.12,4.12,4.12,1.74,1.72,1.94,1.76,1.77,2.3,0.79,0.84,1.79,1.52,2.13,1.89,1.84,0.74,1.83,1.6,1.5,1.11,1.06,1.14,1.39,4.6,4.9,4.28,3.43,2.85,2.58,3.31,4.12,3.62,0.5,0.62,0.0,3.0,3.88,1.75,2.25,3.0,3.62,2.62,3.12,2.38,3.0,0.62,2.62,0.62,3.38,3.0,3.62,3.38,0.88,3.0,1.25
19-1031.03,Park Naturalists,0.4848484848484848,4,28.5,3.4,2.5,77.24810400866738,False,0.3120260021668472,0.5579631635969664,0.43499458288190684,5,2,0.4,True,Nicht hoch GPT-exponiert,2.12,2.38,3.12,2.0,3.38,2.12,0.0,1.75,1.25,1.88,3.12,1.88,3.0,3.25,1.75,1.75,1.12,2.12,3.12,3.25,1.88,2.0,2.75,2.0,3.12,1.62,2.12,4.12,4.38,3.25,3.0,1.5,3.38,1.38,1.38,1.62,3.0,1.25,2.0,4.12,3.75,2.38,0.0,1.88,2.12,3.0,2.25,2.88,3.0,1.25,4.12,4.12,1.52,0.6,1.44,0.08,1.63,2.47,0.86,1.12,1.75,1.55,1.73,2.01,0.83,1.86,0.57,0.75,1.7,0.96,2.31,1.24,0.49,4.43,4.53,3.69,2.73,3.48,2.5,2.9,3.25,3.12,0.5,0.25,0.0,3.25,3.25,1.5,2.0,3.0,2.62,2.0,2.88,2.0,2.88,0.5,2.0,0.12,3.38,3.5,2.25,2.5,1.25,2.88,1.62
19-1032.00,Foresters,0.3676470588235294,4,13.8,1.2,1.1,59.154929577464785,False,0.1635969664138678,0.33098591549295775,0.24729144095341277,5,0,0.0,True,Nicht hoch GPT-exponiert,2.88,2.62,4.0,2.75,4.0,2.75,0.0,2.25,1.38,2.25,3.5,2.0,3.88,3.62,2.0,2.0,2.0,2.25,4.0,4.0,2.0,3.25,2.75,3.0,3.88,2.0,3.12,4.12,4.12,3.62,2.75,2.0,4.0,1.88,2.25,2.12,2.88,1.25,2.62,3.0,3.12,2.88,0.88,2.12,2.75,3.0,3.0,2.75,3.25,1.38,4.12,4.0,1.8,1.72,2.02,2.03,1.74,2.36,0.45,0.5,1.69,1.41,2.1,1.68,2.16,0.64,1.9,1.5,1.25,0.98,0.95,1.32,1.24,4.44,4.4,4.64,3.94,2.98,2.22,3.11,4.12,3.88,1.0,1.62,0.0,3.0,4.12,2.5,2.88,3.5,3.75,3.0,2.88,3.0,3.38,0.75,2.25,0.88,3.12,3.25,4.0,3.75,1.88,3.75,1.5
19-1041.00,Epidemiologists,0.5576923076923077,5,12.3,16.2,0.8,87.32394366197182,True,0.11755146262188516,0.9696641386782232,0.5436078006500542,5,2,0.4,True,Hoch GPT-exponiert mit guten Wechseloptionen,0.0,1.25,4.5,0.0,5.0,0.5,0.0,0.0,0.0,0.0,3.12,1.38,3.75,4.12,0.0,0.12,0.0,0.75,5.0,4.12,0.12,4.0,2.88,0.0,3.88,0.0,3.75,5.25,5.12,4.12,3.0,0.0,4.75,0.0,0.0,0.0,3.0,0.0,0.0,4.0,3.88,3.25,0.0,0.0,0.0,2.5,1.12,2.5,3.12,0.62,5.25,5.0,2.14,2.21,2.7,2.28,2.14,2.59,1.3,1.09,1.79,1.8,2.47,2.67,1.5,0.59,1.9,1.5,1.8,1.6,1.45,1.8,1.95,4.21,4.67,4.58,4.68,2.74,2.21,3.58,4.5,4.12,0.0,0.25,0.0,3.88,4.38,1.88,1.75,3.5,2.88,0.0,3.5,0.62,3.62,0.75,0.62,0.0,3.62,4.12,4.12,4.12,0.38,3.75,0.0
19-1042.00,"Medical Scientists, Except Epidemiologists",0.5681818181818182,5,165.3,8.7,9.6,88.29902491874323,True,0.6056338028169014,0.8965330444203684,0.7510834236186349,5,2,0.4,True,Hoch GPT-exponiert mit guten Wechseloptionen,2.38,1.75,4.25,2.25,4.88,1.38,0.0,0.38,0.0,0.12,3.0,2.88,3.75,4.0,0.0,0.0,0.0,1.75,5.25,4.25,2.12,4.0,3.0,0.25,3.88,0.0,3.75,5.12,5.12,4.0,3.0,0.0,5.0,0.0,0.0,0.0,3.12,0.0,0.0,4.25,3.75,3.0,0.0,0.0,0.0,2.88,0.88,3.0,2.88,0.75,5.12,5.0,2.24,1.79,3.0,2.54,1.26,2.65,0.6,0.72,1.79,2.36,2.36,3.0,1.26,0.64,2.12,1.38,1.56,1.23,0.75,1.73,1.58,4.67,4.84,4.41,4.57,3.1,3.0,3.69,4.62,3.0,0.0,0.75,0.0,4.0,4.25,1.5,1.75,3.25,2.88,1.12,3.62,2.62,3.0,1.62,2.75,0.0,3.0,3.25,4.0,4.12,0.75,3.62,0.75
19-2011.00,Astronomers,0.421875,5,1.8,2.2,0.1,67.82231852654388,False,0.011375947995666305,0.43066088840736727,0.2210184182015168,5,0,0.0,True,Nicht hoch GPT-exponiert,0.5,1.5,4.12,0.25,4.75,1.88,0.0,0.0,0.0,0.0,4.0,0.75,4.38,4.25,0.0,0.0,0.0,1.5,4.88,4.25,0.25,4.88,2.62,0.0,4.12,0.75,4.38,5.12,5.0,4.12,3.12,0.0,4.0,0.0,0.0,0.0,3.38,0.0,0.62,3.88,3.5,2.62,0.0,0.0,0.0,2.62,1.25,3.0,3.12,0.5,5.0,5.0,2.21,1.65,2.5,1.38,1.47,2.14,0.52,0.7,1.75,2.55,2.06,3.0,1.26,0.64,2.15,1.83,1.0,0.88,1.27,1.14,1.99,3.57,4.14,4.83,4.26,2.7,1.52,2.91,4.0,3.12,0.38,0.75,0.0,3.62,3.88,2.5,2.0,3.0,2.62,1.0,3.12,2.0,3.12,2.0,1.0,0.12,3.0,3.12,3.0,3.0,2.0,3.0,0.38
19-2012.00,Physicists,0.6363636363636364,5,24.6,4.0,1.7,94.8537378114843,True,0.23672806067172264,0.628385698808234,0.43255687973997836,5,1,0.2,True,Hoch GPT-exponiert mit begrenzten Wechseloptionen,0.0,2.25,5.12,0.0,5.5,2.12,0.0,0.0,0.0,0.0,3.62,2.0,3.88,5.12,0.0,0.0,0.0,2.12,5.5,5.0,0.0,5.88,3.38,0.0,4.0,0.0,5.5,5.88,5.75,5.25,3.25,0.0,4.88,0.0,0.0,0.0,4.0,0.0,0.25,5.0,4.0,3.88,0.0,0.0,0.0,2.88,1.0,2.88,4.25,0.25,5.5,5.62,2.17,1.35,2.53,1.5,0.68,2.14,0.04,0.24,1.53,2.61,2.1,3.0,0.64,0.13,1.87,1.6,0.57,0.53,0.45,0.95,1.91,3.39,4.36,4.42,3.78,2.53,2.0,3.05,4.88,3.38,0.0,1.5,0.12,4.62,4.5,2.12,2.25,3.12,2.75,0.62,3.62,2.38,3.5,3.88,3.25,0.0,3.0,3.12,4.0,3.88,3.38,3.62,2.0
19-2021.00,Atmospheric and Space Scientists,0.6086956521739131,4,9.4,0.7,0.7,92.84940411700975,True,0.10184182015167931,0.30119176598049835,0.20151679306608883,5,0,0.0,True,Hoch GPT-exponiert mit begrenzten Wechseloptionen,0.38,1.75,3.88,0.0,4.25,0.62,0.0,0.38,0.0,0.0,3.0,0.38,3.88,3.5,0.0,0.0,0.0,1.62,4.25,4.0,0.25,4.0,2.88,0.0,4.0,0.0,3.38,5.0,5.0,3.12,3.0,0.0,4.0,0.0,0.0,0.0,2.88,0.0,0.0,4.0,3.5,2.88,0.0,0.0,0.0,2.88,1.12,2.88,2.5,0.62,5.0,4.75,2.14,1.98,2.67,1.79,0.87,2.47,0.16,0.32,1.1,1.97,1.92,2.45,0.73,0.28,1.74,1.5,1.22,0.7,0.63,1.52,2.01,3.9,4.6,3.95,3.95,2.6,2.8,3.95,4.0,3.12,0.0,0.0,0.0,3.5,3.88,1.25,1.25,2.88,2.75,0.12,2.75,1.88,2.88,1.75,0.75,0.0,2.88,3.25,3.62,3.0,1.38,3.0,0.0
19-2031.00,Chemists,0.4,4,86.8,4.9,6.3,64.68039003250271,False,0.5124593716143012,0.723726977248104,0.6180931744312026,5,1,0.2,True,Nicht hoch GPT-exponiert,3.0,2.25,4.38,2.88,4.88,2.0,0.0,0.38,0.25,0.88,2.88,3.25,3.5,3.62,0.0,0.5,0.75,2.25,4.88,4.25,2.62,4.12,2.88,2.12,4.0,0.0,4.12,4.88,5.0,3.38,3.0,0.0,4.12,0.62,1.38,1.38,3.0,0.0,0.12,3.62,3.5,2.88,0.0,0.62,1.38,2.38,2.25,3.5,3.5,1.12,4.88,4.88,2.14,1.51,3.0,2.35,1.08,2.53,-0.02,0.29,1.41,2.39,2.1,3.0,0.73,0.34,1.61,1.07,0.95,0.52,0.16,1.22,1.43,3.82,4.74,4.44,4.67,3.09,2.34,3.79,4.12,3.0,2.5,2.5,0.0,3.5,3.5,1.5,2.25,3.0,2.0,2.12,2.88,2.88,2.38,1.88,3.38,2.0,2.38,2.75,3.25,3.38,1.0,3.12,2.62
19-2032.00,Materials Scientists,0.5172413793103449,4,8.7,4.9,0.6,82.06933911159263,True,0.08559046587215602,0.723726977248104,0.40465872156013,5,0,0.0,True,Hoch GPT-exponiert mit begrenzten Wechseloptionen,1.88,2.0,4.38,1.5,4.88,1.75,0.0,0.0,0.0,0.0,3.0,1.38,3.62,3.88,0.0,0.0,0.0,1.88,4.75,4.0,1.12,3.88,2.5,0.25,4.0,0.0,3.38,4.88,5.0,4.12,3.0,0.0,4.0,0.88,0.88,0.25,3.0,0.0,0.0,3.0,3.0,2.75,0.0,0.0,0.0,2.5,0.88,2.75,3.5,1.12,4.88,4.88,2.14,1.65,2.67,1.99,1.03,2.19,-0.02,0.5,1.5,2.48,1.86,3.0,0.83,0.4,1.77,1.41,0.57,0.6,0.41,1.09,1.6,3.81,4.48,3.76,4.1,3.0,1.65,3.38,4.12,3.0,0.5,0.62,0.0,3.12,3.88,1.75,2.12,3.0,2.62,1.88,3.88,2.75,3.12,1.0,3.0,0.38,2.75,3.0,3.12,3.25,1.62,3.12,1.75
19-2041.00,"Environmental Scientists and Specialists, Including Health",0.7258064516129032,4,90.3,4.4,8.5,98.59154929577466,True,0.570964247020585,0.676056338028169,0.623510292524377,5,2,0.4,True,Hoch GPT-exponiert mit guten Wechseloptionen,1.38,2.0,4.0,1.5,4.12,2.0,0.0,0.5,0.12,0.5,3.25,1.5,3.75,3.62,0.88,0.5,0.5,2.0,4.62,4.0,0.88,3.62,2.75,1.5,3.5,0.75,3.62,5.0,4.88,3.62,2.88,0.62,4.62,0.5,0.75,0.5,3.12,0.5,1.38,3.75,3.75,3.0,0.38,0.25,0.38,2.62,0.88,2.62,2.75,0.25,5.0,4.5,2.01,1.94,2.67,2.1,1.74,2.47,0.82,0.58,1.59,2.03,2.43,2.41,1.34,0.59,1.67,1.44,1.34,1.33,1.38,1.32,1.56,4.05,4.62,3.71,3.9,2.77,2.51,3.79,4.0,3.5,0.0,0.0,0.0,3.75,3.75,2.25,2.12,3.12,3.0,2.0,2.88,3.0,3.0,2.38,2.62,0.0,3.12,3.5,3.62,3.5,1.5,3.75,2.0
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",0.4777777777777778,5,25.1,3.2,2.0,76.38136511375949,False,0.2638136511375948,0.5330444203683641,0.39842903575297944,5,0,0.0,True,Nicht hoch GPT-exponiert,1.75,1.75,4.25,2.0,4.38,2.0,0.0,0.88,0.12,0.75,3.38,1.5,3.5,3.88,0.75,0.88,0.75,1.38,4.5,4.12,1.0,4.25,2.38,2.0,4.0,0.75,3.5,5.12,5.0,3.38,3.0,0.88,4.25,0.88,1.0,1.12,2.88,0.62,1.25,4.12,3.38,2.88,0.38,0.88,1.0,2.0,1.38,2.88,3.25,1.25,5.0,4.38,2.04,1.51,2.63,1.69,0.75,2.16,-0.02,0.56,1.41,2.27,1.79,2.72,0.9,0.26,1.67,1.6,0.73,0.62,0.36,1.16,1.83,3.75,4.53,4.22,3.77,2.56,2.13,3.44,4.12,3.25,0.0,1.12,0.0,3.0,4.0,1.12,0.75,2.62,2.62,1.75,3.12,1.88,2.88,1.62,2.0,0.0,2.5,3.12,3.5,3.38,0.75,2.88,0.62
19-2043.00,Hydrologists,0.53125,5,6.3,-0.1,0.5,84.77789815817984,True,0.06988082340195016,0.2611050920910076,0.16549295774647887,5,1,0.2,True,Hoch GPT-exponiert mit begrenzten Wechseloptionen,2.0,2.0,4.0,2.12,4.5,2.12,0.0,1.12,0.75,1.38,3.25,2.25,3.75,4.12,0.25,1.12,1.12,1.88,4.62,3.88,1.62,4.38,2.75,2.0,3.88,0.25,4.0,5.0,4.88,4.12,3.12,0.38,4.25,0.25,0.38,0.5,2.88,0.38,1.5,3.5,3.38,2.88,0.12,1.38,1.62,2.25,1.88,2.62,3.62,1.12,5.0,4.62,1.98,1.48,2.63,1.99,1.31,2.39,0.2,0.45,1.44,2.03,2.1,2.58,1.11,0.26,1.64,1.41,0.92,0.74,0.43,0.97,1.6,3.91,4.55,4.14,4.18,2.57,2.04,3.35,4.12,3.12,2.0,1.62,1.88,3.12,3.75,1.5,1.75,2.88,3.0,1.88,2.62,2.38,3.25,2.62,2.88,1.38,2.88,3.0,3.75,3.62,1.0,3.25,2.0
19-2099.01,Remote Sensing Scientists and Technologists,0.4456521739130434,4,31.9,0.6,2.0,71.397616468039,False,0.2638136511375948,0.29360780065005415,0.2787107258938245,5,0,0.0,True,Nicht hoch GPT-exponiert,1.88,1.75,4.12,2.12,4.62,1.88,0.0,0.12,0.0,0.12,2.88,1.88,3.38,3.88,0.0,0.12,0.0,2.0,4.5,4.12,1.62,4.25,2.62,0.0,3.88,0.0,4.0,4.75,4.75,3.88,3.0,0.0,4.12,0.25,0.5,0.0,3.0,0.0,0.5,3.62,3.25,2.38,0.0,0.0,0.12,2.38,1.38,2.62,3.25,0.5,4.88,4.62,2.01,1.9,2.67,1.76,1.11,2.25,-0.03,0.34,1.59,2.51,1.96,2.41,1.0,0.24,1.61,1.07,0.77,0.49,0.31,1.16,1.89,3.64,4.21,4.12,4.76,2.79,2.72,3.44,4.12,3.0,0.0,0.5,0.0,3.38,4.12,1.38,1.75,3.0,2.62,1.62,3.62,2.5,2.88,2.75,1.75,0.0,2.88,3.0,3.88,3.88,2.38,3.12,0.75
19-3011.00,Economists,0.4583333333333333,5,17.6,1.2,0.9,73.02275189599133,False,0.13488624052004333,0.33098591549295775,0.23293607800650054,5,0,0.0,True,Nicht hoch GPT-exponiert,0.0,0.75,3.25,0.0,4.5,0.5,0.0,0.0,0.0,0.0,2.5,0.38,2.75,4.0,0.0,0.0,0.0,1.0,4.38,3.75,0.0,4.38,2.88,0.0,3.75,0.0,4.12,4.88,4.88,3.5,2.12,0.0,4.0,0.0,0.0,0.0,2.75,0.0,0.0,4.25,3.75,2.12,0.0,0.0,0.0,2.0,1.0,1.25,2.12,0.38,5.0,5.0,2.17,1.44,2.53,1.76,0.87,2.14,0.35,-0.23,1.53,1.89,2.13,3.0,1.24,0.22,1.58,1.7,1.19,0.53,0.59,1.35,1.89,3.5,4.43,4.61,4.08,2.5,1.46,3.62,4.12,3.0,0.0,0.0,0.0,3.12,4.12,1.0,0.75,2.38,2.5,0.0,2.75,0.62,3.5,1.88,0.25,0.0,3.0,3.0,3.88,3.62,0.38,3.0,0.0
19-3022.00,Survey Researchers,0.84375,5,8.8,-5.2,0.7,99.94582881906825,True,0.10184182015167931,0.1180931744312026,0.10996749729144095,5,1,0.2,True,Hoch GPT-exponiert mit begrenzten Wechseloptionen,0.12,1.12,4.0,0.12,4.5,0.38,0.0,0.0,0.0,0.0,3.0,0.5,3.12,3.75,0.0,0.0,0.0,1.0,4.62,4.12,0.25,4.25,2.62,0.0,4.25,0.0,4.12,4.38,4.5,3.25,2.5,0.0,3.62,0.0,0.0,0.0,2.88,0.0,0.12,4.0,4.0,2.88,0.0,0.0,0.0,2.0,0.88,1.25,2.12,0.62,4.5,4.75,1.8,1.38,2.63,1.32,1.84,2.39,0.88,0.58,1.53,1.66,1.89,2.28,1.29,0.59,1.43,1.18,1.0,0.9,1.38,1.07,1.58,3.92,4.38,4.08,4.58,2.46,2.19,4.0,3.88,3.25,0.0,0.0,0.0,3.12,3.88,1.0,1.12,3.0,2.75,0.0,2.75,1.0,3.0,2.88,1.62,0.0,3.12,3.38,3.25,3.5,1.12,3.62,0.0
19-3032.00,Industrial-Organizational Psychologists,0.5888888888888889,5,5.6,6.3,0.4,90.84507042253522,True,0.05579631635969664,0.8158179848320694,0.435807150595883,5,3,0.6,True,Hoch GPT-exponiert mit guten Wechseloptionen,0.0,0.75,4.0,0.0,4.62,0.5,0.0,0.0,0.0,0.0,3.38,0.75,3.0,4.25,0.0,0.0,0.0,1.25,4.12,4.0,0.0,3.88,3.0,0.0,3.88,0.0,3.62,4.75,4.88,4.0,2.75,0.0,4.25,0.0,0.0,0.0,2.75,0.0,0.0,4.25,4.12,3.0,0.0,0.0,0.0,2.5,0.5,1.75,2.38,0.0,4.88,4.88,2.45,2.3,2.6,1.38,2.18,2.3,1.89,1.12,2.03,2.39,2.36,2.67,1.81,0.93,1.77,2.05,1.87,1.63,1.92,1.46,1.97,4.23,4.76,4.42,4.23,2.77,2.3,3.73,4.12,4.0,0.0,0.0,0.0,3.88,4.0,2.38,2.12,4.0,3.25,0.0,3.5,1.75,3.88,2.88,2.0,0.0,3.5,4.12,4.25,4.5,1.12,3.75,0.0
19-3033.00,Clinical and Counseling Psychologists,0.5092592592592592,5,76.3,11.2,4.8,81.04008667388949,True,0.45449620801733476,0.9349945828819068,0.6947453954496208,5,4,0.8,True,Hoch GPT-exponiert mit guten Wechseloptionen,0.0,2.12,3.88,0.0,4.0,0.25,0.0,0.0,0.0,0.0,2.88,0.0,3.12,4.0,0.0,0.0,0.0,1.62,4.12,3.75,0.0,2.25,2.75,0.0,3.75,0.0,2.12,5.0,5.0,3.88,2.12,0.0,4.25,0.0,0.0,0.0,2.75,0.0,0.12,4.12,4.12,2.62,0.0,0.0,0.0,2.12,1.5,2.0,2.0,0.5,4.5,4.38,2.04,1.98,2.6,1.99,2.55,2.5,3.0,1.49,1.5,1.4,2.68,2.41,0.98,1.56,1.97,1.66,2.55,2.89,2.36,2.47,1.85,4.52,4.8,4.64,3.56,3.44,1.68,3.56,3.75,3.12,0.0,0.0,0.0,3.75,3.75,0.88,0.88,3.0,3.12,0.0,0.75,0.88,3.75,0.75,0.0,0.0,3.88,5.0,3.12,3.25,0.62,3.25,0.0
19-3034.00,School Psychologists,0.5810810810810811,5,67.2,0.7,3.8,90.03250270855905,True,0.3916576381365114,0.30119176598049835,0.34642470205850484,5,3,0.6,True,Hoch GPT-exponiert mit guten Wechseloptionen,0.0,1.62,3.38,0.0,4.12,0.0,0.0,0.0,0.0,0.0,2.75,1.75,3.12,3.38,0.0,0.0,0.0,1.5,4.38,3.5,0.0,3.12,2.62,0.0,3.62,0.0,3.0,4.88,4.75,3.5,2.88,0.0,4.25,0.0,0.0,0.0,2.88,0.0,0.25,4.0,4.0,2.38,0.0,0.0,0.0,2.88,1.38,1.38,2.25,0.5,4.88,4.75,2.04,2.13,2.57,1.82,2.69,2.65,2.97,1.35,1.79,1.36,2.47,2.2,1.26,2.18,1.97,1.66,2.26,2.53,2.33,2.24,1.6,4.38,4.84,4.62,4.1,3.23,1.67,4.1,4.0,3.62,0.0,0.0,0.0,3.5,4.0,0.0,0.0,2.88,3.38,0.0,1.12,0.88,3.5,0.75,0.38,0.0,3.88,5.0,3.38,3.5,0.62,3.62,0.0
19-3039.02,Neuropsychologists,0.2857142857142857,5,55.3,4.3,3.9,47.77898158179848,False,0.4014084507042254,0.6619718309859155,0.5316901408450705,5,0,0.0,True,Nicht hoch GPT-exponiert,1.62,2.25,4.12,1.25,4.88,1.25,0.0,0.0,0.0,0.0,3.38,1.38,3.25,3.75,0.0,0.0,0.0,1.75,5.38,3.88,1.38,3.25,3.0,0.0,4.0,0.0,2.88,5.38,5.25,3.62,3.0,0.0,5.0,0.0,0.0,0.12,3.12,0.0,0.12,4.38,4.12,3.12,0.0,0.0,0.0,2.62,1.75,1.88,2.5,1.62,5.0,5.25,2.14,1.58,3.0,2.28,2.1,2.25,2.27,1.19,1.5,1.25,2.51,3.0,0.83,0.52,1.94,1.38,1.34,2.03,1.54,2.03,1.74,3.92,4.48,4.72,4.64,3.75,2.09,3.92,4.62,3.38,0.0,0.0,0.0,3.88,4.38,1.5,1.38,2.88,2.88,0.12,1.25,1.75,3.5,1.38,2.0,0.0,4.0,4.88,3.38,3.75,0.62,3.25,1.12
